hero,comic
CAPTAIN AMERICA,INV 11
CAPTAIN AMERICA,CA 136
CAPTAIN AMERICA,CA 324
CAPTAIN AMERICA,AWC 47
CAPTAIN AMERICA,CA 300
CAPTAIN AMERICA V/RO,CA 179
CAPTAIN AMERICA,A 145
CAPTAIN AMERICA,DEF 15
CAPTAIN AMERICA,CA 265
CAPTAIN AMERICA,SS3 146
CAPTAIN AMERICA,ST 156
CAPTAIN AMERICA,CA 360
CAPTAIN AMERICA,A 26
CAPTAIN AMERICA,A2 6
CAPTAIN AMERICA,CA COMICS 1
CAPTAIN AMERICA,A 164
CAPTAIN AMERICA,IM 115
CAPTAIN AMERICA,A2 7
CAPTAIN AMERICA,INV 18
CAPTAIN AMERICA,A 345
CAPTAIN AMERICA,CA 339
CAPTAIN AMERICA,ASM 348
CAPTAIN AMERICA,A 212
CAPTAIN AMERICA,A 190
CAPTAIN AMERICA,CA 336
CAPTAIN AMERICA IV/S,CA 153
CAPTAIN AMERICA,CA:SL2 8
CAPTAIN AMERICA,FF 369
CAPTAIN AMERICA,CA 200
CAPTAIN AMERICA,NW 1
CAPTAIN AMERICA,A 318
CAPTAIN AMERICA,IM 44
CAPTAIN AMERICA,H2 282
CAPTAIN AMERICA,TOS 97/2
CAPTAIN AMERICA,CX 20
CAPTAIN AMERICA,A3 36
CAPTAIN AMERICA,CA 308
CAPTAIN AMERICA,A 152
CAPTAIN AMERICA,A 20
CAPTAIN AMERICA,A 160
CAPTAIN AMERICA,A 85
CAPTAIN AMERICA,A 242
CAPTAIN AMERICA,FF2 3
CAPTAIN AMERICA,CA3 3
CAPTAIN AMERICA,CA 325
CAPTAIN AMERICA,A 16
CAPTAIN AMERICA,A 158
CAPTAIN AMERICA,A 149
CAPTAIN AMERICA,CA 286
CAPTAIN AMERICA,IM 326
CAPTAIN AMERICA,A 269
CAPTAIN AMERICA,IM 182
CAPTAIN AMERICA,CA 196
CAPTAIN AMERICA,M/SHSW 11
CAPTAIN AMERICA,FF3 27
CAPTAIN AMERICA,A 230
CAPTAIN AMERICA,INV 16
CAPTAIN AMERICA,A 95
CAPTAIN AMERICA,CA 377
CAPTAIN AMERICA,CA 177
CAPTAIN AMERICA,A 330
CAPTAIN AMERICA,M/SHSW 2
CAPTAIN AMERICA,M/TIO 75
CAPTAIN AMERICA,CA 263
CAPTAIN AMERICA,INV 23
CAPTAIN AMERICA,NF3 24
CAPTAIN AMERICA,A 298
CAPTAIN AMERICA,A 380
CAPTAIN AMERICA,CA 142
CAPTAIN AMERICA,FF 258
CAPTAIN AMERICA,IW 5
CAPTAIN AMERICA,CA '99
CAPTAIN AMERICA,CA 452
CAPTAIN AMERICA,TOS 99/2
CAPTAIN AMERICA IV/S,CA 155
CAPTAIN AMERICA,ST 162
CAPTAIN AMERICA,IM3 39
CAPTAIN AMERICA,A 324
CAPTAIN AMERICA,CA 268
CAPTAIN AMERICA,CA 209
CAPTAIN AMERICA,CA3 6
CAPTAIN AMERICA IV/S,CA 233
CAPTAIN AMERICA,A 170
CAPTAIN AMERICA,CA 404
CAPTAIN AMERICA V/RO,CA 180
CAPTAIN AMERICA,A 217
CAPTAIN AMERICA,A 101
CAPTAIN AMERICA,DEF 106
CAPTAIN AMERICA,CA2 10
CAPTAIN AMERICA,JUSTICE 3
CAPTAIN AMERICA,A2 11
CAPTAIN AMERICA,CA 444
CAPTAIN AMERICA,A 104
CAPTAIN AMERICA,CA 257
CAPTAIN AMERICA,WOSM 76
CAPTAIN AMERICA,AVF 11
CAPTAIN AMERICA,CA 3
CAPTAIN AMERICA,CA 277
CAPTAIN AMERICA,CA:SL2 12
CAPTAIN AMERICA,CA 369
IRON MAN/TONY STARK,A 124
IRON MAN/TONY STARK,IM 100
IRON MAN/TONY STARK,CA 112
IRON MAN/TONY STARK,JIM 101
IRON MAN/TONY STARK,AWC  7
IRON MAN/TONY STARK,A 316
IRON MAN/TONY STARK,IM '99
IRON MAN/TONY STARK,IM 36
IRON MAN/TONY STARK,CA 221/2
IRON MAN/TONY STARK,BFF:BGL 1
IRON MAN/TONY STARK,IM 268
IRON MAN/TONY STARK,IM 120
IRON MAN/TONY STARK,M/TU 110
IRON MAN/TONY STARK,M/SH3 8/3
IRON MAN/TONY STARK,GZILL 24
IRON MAN/TONY STARK,WCA2 2
IRON MAN/TONY STARK,TOS 65
IRON MAN/TONY STARK,IM '00
IRON MAN/TONY STARK,A 86
IRON MAN/TONY STARK,DHAWK 1
IRON MAN/TONY STARK,A3 38
IRON MAN/TONY STARK,H2 361
IRON MAN/TONY STARK,A 226
IRON MAN/TONY STARK,IM3 38
IRON MAN/TONY STARK,IM 13/4
IRON MAN/TONY STARK,IM 244
IRON MAN/TONY STARK,IM3 33
IRON MAN/TONY STARK,CA3 22
IRON MAN/TONY STARK,T 314
IRON MAN/TONY STARK,A 111
IRON MAN/TONY STARK,A3 24
IRON MAN/TONY STARK,WCA2 17
IRON MAN/TONY STARK,NFAOS 8
IRON MAN/TONY STARK,IM 214
IRON MAN/TONY STARK,M/TU 29
IRON MAN/TONY STARK,A 326
IRON MAN/TONY STARK,T2 5
IRON MAN/TONY STARK,IM  11/3
IRON MAN/TONY STARK,IM 196
IRON MAN/TONY STARK,IM3 41
IRON MAN/TONY STARK,M/CP 43/3
IRON MAN/TONY STARK,TOS 95
IRON MAN/TONY STARK,DEF2 1
IRON MAN/TONY STARK,IM2 11
IRON MAN/TONY STARK,FW 21
IRON MAN/TONY STARK,IM 146
IRON MAN/TONY STARK,A 165
IRON MAN/TONY STARK,A 106
IRON MAN/TONY STARK,IM 323
IRON MAN/TONY STARK,FW 5
IRON MAN/TONY STARK,AWC 70
IRON MAN/TONY STARK,IM 46
IRON MAN/TONY STARK,PPSM2 11
IRON MAN/TONY STARK,IM 4
IRON MAN/TONY STARK,IM 163
IRON MAN/TONY STARK,COC 1
IRON MAN/TONY STARK,IM 90
IRON MAN/TONY STARK,A3 30
IRON MAN/TONY STARK,A3 15
IRON MAN/TONY STARK,TB 12
IRON MAN/TONY STARK,IM 74
IRON MAN/TONY STARK,WCA 2
IRON MAN/TONY STARK,FF3 26
IRON MAN/TONY STARK,IM 236
IRON MAN/TONY STARK,IM 41
IRON MAN/TONY STARK,IM 97
IRON MAN/TONY STARK,IM2 9
IRON MAN/TONY STARK,IM 86
IRON MAN/TONY STARK,IM3 13
IRON MAN/TONY STARK,IF 1
IRON MAN/TONY STARK,IM 73
IRON MAN/TONY STARK,CA:SL2 6
IRON MAN/TONY STARK,H2 283
IRON MAN/TONY STARK,A 94
IRON MAN/TONY STARK,IM 192
IRON MAN/TONY STARK,IM 208
IRON MAN/TONY STARK,CA 133
IRON MAN/TONY STARK,A 166
IRON MAN/TONY STARK,A 118
IRON MAN/TONY STARK,TOS 74
IRON MAN/TONY STARK,IM 237
IRON MAN/TONY STARK,IM 262
IRON MAN/TONY STARK,IM 51
IRON MAN/TONY STARK,DD 204
IRON MAN/TONY STARK,AWC 71
IRON MAN/TONY STARK,DEF 63
IRON MAN/TONY STARK,IM 134
IRON MAN/TONY STARK,V&SW2 2
IRON MAN/TONY STARK,IM 66
IRON MAN/TONY STARK,SWII 5
IRON MAN/TONY STARK,T 316
IRON MAN/TONY STARK,IM 267
IRON MAN/TONY STARK,MAXSEC 3
IRON MAN/TONY STARK,M/CP 82/3
IRON MAN/TONY STARK,IM 12/3
IRON MAN/TONY STARK,H2 462
IRON MAN/TONY STARK,IM 193
IRON MAN/TONY STARK,A 32
IRON MAN/TONY STARK,IM 246
IRON MAN/TONY STARK,CA3 16
BLACK WIDOW/NATASHA,DD 115
BLACK WIDOW/NATASHA,IG 2
BLACK WIDOW/NATASHA,CHAMP 7
BLACK WIDOW/NATASHA,A 384
BLACK WIDOW/NATASHA,NW 72
BLACK WIDOW/NATASHA,M/K 4
BLACK WIDOW/NATASHA,T 17
BLACK WIDOW/NATASHA,IM3 9
BLACK WIDOW/NATASHA,A 181
BLACK WIDOW/NATASHA,DD 94
BLACK WIDOW/NATASHA,BW2 2
BLACK WIDOW/NATASHA,A 357
BLACK WIDOW/NATASHA,W2 126
BLACK WIDOW/NATASHA,A 175
BLACK WIDOW/NATASHA,A 305
BLACK WIDOW/NATASHA,M/TU 141
BLACK WIDOW/NATASHA,A3 43
BLACK WIDOW/NATASHA,DD2 2
BLACK WIDOW/NATASHA,DD 165
BLACK WIDOW/NATASHA,SOLOA 14
BLACK WIDOW/NATASHA,IM 322
BLACK WIDOW/NATASHA,A 37
BLACK WIDOW/NATASHA,A 375/2
BLACK WIDOW/NATASHA,ASM 86
BLACK WIDOW/NATASHA,BW2 1
BLACK WIDOW/NATASHA,A 59
BLACK WIDOW/NATASHA,A 401
BLACK WIDOW/NATASHA,A 111
BLACK WIDOW/NATASHA,DD 85
BLACK WIDOW/NATASHA,DD 124
BLACK WIDOW/NATASHA,A 334
BLACK WIDOW/NATASHA,M/TU 83
BLACK WIDOW/NATASHA,DD 105
BLACK WIDOW/NATASHA,DD 200
BLACK WIDOW/NATASHA,IM 315
BLACK WIDOW/NATASHA,DD 158
BLACK WIDOW/NATASHA,FF3 27
BLACK WIDOW/NATASHA,DD 121
BLACK WIDOW/NATASHA,A 46
BLACK WIDOW/NATASHA,DD 239
BLACK WIDOW/NATASHA,A 398
BLACK WIDOW/NATASHA,A:T
BLACK WIDOW/NATASHA,A 350
BLACK WIDOW/NATASHA,CA 431
BLACK WIDOW/NATASHA,DD 93
BLACK WIDOW/NATASHA,O:MU
BLACK WIDOW/NATASHA,DD 95
BLACK WIDOW/NATASHA,IM3 8
BLACK WIDOW/NATASHA,CHAMP 9
BLACK WIDOW/NATASHA,DD 207
BLACK WIDOW/NATASHA,IM 271
BLACK WIDOW/NATASHA,N 1/3
BLACK WIDOW/NATASHA,AA2 1/2
BLACK WIDOW/NATASHA,A 342
BLACK WIDOW/NATASHA,A 29
BLACK WIDOW/NATASHA,A 151
BLACK WIDOW/NATASHA,FW 18
BLACK WIDOW/NATASHA,A3 33
BLACK WIDOW/NATASHA,A 379
BLACK WIDOW/NATASHA,CA 377
BLACK WIDOW/NATASHA,IM 273
BLACK WIDOW/NATASHA,COH 3
BLACK WIDOW/NATASHA,IM 4
BLACK WIDOW/NATASHA,AUP 3
BLACK WIDOW/NATASHA,AF 99
BLACK WIDOW/NATASHA,DD 112
BLACK WIDOW/NATASHA,IW 2
BLACK WIDOW/NATASHA,TS 20
BLACK WIDOW/NATASHA,M/TU 82
BLACK WIDOW/NATASHA,A 386
BLACK WIDOW/NATASHA,IM 317
BLACK WIDOW/NATASHA,A 378
BLACK WIDOW/NATASHA,WCA 1
BLACK WIDOW/NATASHA,TS 23
BLACK WIDOW/NATASHA,DD2 15
BLACK WIDOW/NATASHA,DD 99
BLACK WIDOW/NATASHA,SMTU 4
BLACK WIDOW/NATASHA,SOLOA 16
BLACK WIDOW/NATASHA,A 35
BLACK WIDOW/NATASHA,H2 434
BLACK WIDOW/NATASHA,M/TU 98
BLACK WIDOW/NATASHA,SOLOA 15
BLACK WIDOW/NATASHA,IW 1
BLACK WIDOW/NATASHA,DD 375
BLACK WIDOW/NATASHA,A 394
BLACK WIDOW/NATASHA,X 55
BLACK WIDOW/NATASHA,TB 1
BLACK WIDOW/NATASHA,H2 152
BLACK WIDOW/NATASHA,A 341
BLACK WIDOW/NATASHA,A 30
BLACK WIDOW/NATASHA,A 343
BLACK WIDOW/NATASHA,AWC 6
BLACK WIDOW/NATASHA,DD 332
BLACK WIDOW/NATASHA,CA 430
BLACK WIDOW/NATASHA,DD 108
BLACK WIDOW/NATASHA,DD 222
BLACK WIDOW/NATASHA,FF 22
BLACK WIDOW/NATASHA,TOS 60
BLACK WIDOW/NATASHA,A 47
BLACK WIDOW/NATASHA,DD 161
HULK/DR. ROBERT BRUC,H2 285
HULK/DR. ROBERT BRUC,IM 305
HULK/DR. ROBERT BRUC,RH2 2
HULK/DR. ROBERT BRUC,H2 421
HULK/DR. ROBERT BRUC,DEF 2
HULK/DR. ROBERT BRUC,SS 5
HULK/DR. ROBERT BRUC,M/SHSW 11
HULK/DR. ROBERT BRUC,H2 306
HULK/DR. ROBERT BRUC,H2 317
HULK/DR. ROBERT BRUC,H2 248
HULK/DR. ROBERT BRUC,TTA 97/2
HULK/DR. ROBERT BRUC,DEF 19
HULK/DR. ROBERT BRUC,TTA 91/2
HULK/DR. ROBERT BRUC,H2 146
HULK/DR. ROBERT BRUC,H2 449
HULK/DR. ROBERT BRUC,TTA 62/2
HULK/DR. ROBERT BRUC,H2 423
HULK/DR. ROBERT BRUC,TTA 92/2
HULK/DR. ROBERT BRUC,H2 209
HULK/DR. ROBERT BRUC,H3 18
HULK/DR. ROBERT BRUC,ASM 120
HULK/DR. ROBERT BRUC,DEF 41
HULK/DR. ROBERT BRUC,H2 356
HULK/DR. ROBERT BRUC,DEF 123
HULK/DR. ROBERT BRUC,H2 352
HULK/DR. ROBERT BRUC,H3 4
HULK/DR. ROBERT BRUC,DEF 5
HULK/DR. ROBERT BRUC,M/SHSW 9
HULK/DR. ROBERT BRUC,H2 454
HULK/DR. ROBERT BRUC,H2 434
HULK/DR. ROBERT BRUC,DEF 68
HULK/DR. ROBERT BRUC,H2 374
HULK/DR. ROBERT BRUC,M/SHSW 12
HULK/DR. ROBERT BRUC,H2 302
HULK/DR. ROBERT BRUC,H2 459
HULK/DR. ROBERT BRUC,H2 315
HULK/DR. ROBERT BRUC,H2 368
HULK/DR. ROBERT BRUC,M/FAN 29
HULK/DR. ROBERT BRUC,H2 190
HULK/DR. ROBERT BRUC,DEF 1
HULK/DR. ROBERT BRUC,H2 397
HULK/DR. ROBERT BRUC,SS3 95
HULK/DR. ROBERT BRUC,H2 128
HULK/DR. ROBERT BRUC,HMAG 24
HULK/DR. ROBERT BRUC,H2 241
HULK/DR. ROBERT BRUC,H2 229
HULK/DR. ROBERT BRUC,DEF 61
HULK/DR. ROBERT BRUC,M/TU 111
HULK/DR. ROBERT BRUC,TTA 71/2
HULK/DR. ROBERT BRUC,TTA 84/2
HULK/DR. ROBERT BRUC,HMAG 11
HULK/DR. ROBERT BRUC,H2 200
HULK/DR. ROBERT BRUC,SMTU 6
HULK/DR. ROBERT BRUC,GSDEF 2
HULK/DR. ROBERT BRUC,H2 104
HULK/DR. ROBERT BRUC,T 489
HULK/DR. ROBERT BRUC,H2 137
HULK/DR. ROBERT BRUC,H2 188
HULK/DR. ROBERT BRUC,DEF 42
HULK/DR. ROBERT BRUC,TTA 84
HULK/DR. ROBERT BRUC,H2 391
HULK/DR. ROBERT BRUC,IG 6
HULK/DR. ROBERT BRUC,H2 457
HULK/DR. ROBERT BRUC,H2 339
HULK/DR. ROBERT BRUC,H2 140
HULK/DR. ROBERT BRUC,DAMCON3 1
HULK/DR. ROBERT BRUC,S&L 3
HULK/DR. ROBERT BRUC,H2 474
HULK/DR. ROBERT BRUC,H2 370
HULK/DR. ROBERT BRUC,H '97/2
HULK/DR. ROBERT BRUC,WM2 14
HULK/DR. ROBERT BRUC,DEF 8
HULK/DR. ROBERT BRUC,H2 345
HULK/DR. ROBERT BRUC,DEF 71
HULK/DR. ROBERT BRUC,OE 3
HULK/DR. ROBERT BRUC,FF 368
HULK/DR. ROBERT BRUC,H2 135
HULK/DR. ROBERT BRUC,H2 439
HULK/DR. ROBERT BRUC,H2 117
HULK/DR. ROBERT BRUC,H '98
HULK/DR. ROBERT BRUC,M/FAN 17/2
HULK/DR. ROBERT BRUC,H 6
HULK/DR. ROBERT BRUC,H2 176
HULK/DR. ROBERT BRUC,DEF2 5
HULK/DR. ROBERT BRUC,H2 225
HULK/DR. ROBERT BRUC,DEF 90
HULK/DR. ROBERT BRUC,H2 147
HULK/DR. ROBERT BRUC,H2 290
HULK/DR. ROBERT BRUC,H2 246
HULK/DR. ROBERT BRUC,H2 236
HULK/DR. ROBERT BRUC,H2 158
HULK/DR. ROBERT BRUC,H2 252
HULK/DR. ROBERT BRUC,DRSTR3 70
HULK/DR. ROBERT BRUC,H2 348
HULK/DR. ROBERT BRUC,H2 243
HULK/DR. ROBERT BRUC,H2 174
HULK/DR. ROBERT BRUC,M/SHSW 5
HULK/DR. ROBERT BRUC,H2 461
HULK/DR. ROBERT BRUC,IM 247
HULK/DR. ROBERT BRUC,H2 210
